Postal Code,gal_2012,gal_2013,gal_2014,gal_2015,gal_2016,gal_2017,gal_2018,gal_2019,gal_2020
78617,23276700,22750700,21545000,20826700,22255500,21940800,21470500,20271000,26493500
78652,1034400,965500,781000,1612500,2939200,4938900,6173700,6518100,9000800
78653,1377500,1456900,1115700,1212900,1900200,2465900,3137800,5375600,8118600
78660,10474400,9763500,9493300,10365300,10530600,12079000,12051500,15941000,21685000
78701,1766700,1469300,1108500,1006300,1233800,1091300,1172900,1294900,1281400
78702,32443000,31548400,26922400,26424200,28541500,28467700,27139200,26762300,31181200
78703,87526200,73675300,56406300,57585700,72687900,74117800,67838400,59444600,76853900
78704,68150600,64895600,49379300,47686900,59728500,59893900,57309400,51949400,67246600
78705,13780000,12223500,10387100,9180600,10528100,10976900,10470700,8593800,11797300
78717,52836100,53166300,42463300,43576100,63232600,59187600,52715100,49680800,70222000
78719,2355500,1984000,1677600,1594100,1737000,1709400,1785100,1670900,1907600
78721,18392400,18791000,15397800,15715700,15654100,15476500,13816300,15040300,17272600
78722,13623300,12268700,9957000,8207400,10754200,10766300,9430200,7812900,11192100
78723,51115100,46905700,38088400,36377800,39806800,41431400,38796100,36049300,46173000
78724,23841000,25498600,22902200,22570100,23469700,23317300,20408100,22546200,29536600
78725,3041200,3241700,3014400,2990300,3467300,3828000,4156900,4304700,6106600
78726,32856400,27212600,23365800,20076900,24971800,29622600,27043100,21305500,26882900
78727,67748000,56712600,47474000,42846500,53379500,50754200,49558500,39104300,55055000
78728,6006500,5853800,5495300,6356200,7601600,7377400,8489400,8763600,13495100
78729,39158000,32280900,24637400,25563200,30109000,31523900,30894800,23929000,24674100
78730,29229800,21475400,16968800,27698500,37824100,41926000,37803800,28875500,46561400
78731,110019500,96684700,79102100,61361900,88677600,87782100,80768500,68422300,90114600
78735,42319900,39084000,28188000,21541500,34037500,30996900,28650200,23040500,34012700
78736,24893000,22175500,16830500,13456400,20671000,21932800,18258600,15161200,21843100
78737,15000000,15677200,11798400,8369500,15355900,15930900,11364400,9725300,14213000
78738,8300,8100,8200,11000,29800,1000,288700,25800,2800
78739,82357200,70126100,53306600,36078000,48191200,65431900,67250200,40220600,38822700
78741,24957700,22708800,19782200,18291200,20427300,20757300,19883900,17889200,22027000
78742,1055600,917000,742000,718600,791700,773400,827700,765000,732500
78744,62459300,58133500,51364400,47164700,55392100,56354500,56405100,51022700,65490800
78745,107934100,108224700,81357300,72460600,89617100,83589000,80869600,71673600,86899100
78746,59668200,55769200,40049500,44488900,70000100,63483000,56665700,47314600,66335900
78747,36744500,36111400,29166900,24444600,31547700,32287800,33263900,28875600,41074700
78748,115062900,108082800,82318100,65129600,86619600,85655500,83943600,69774300,93641600
78749,112994000,110053300,83435900,62224100,92773600,90224200,77435400,64984500,87257200
78750,95277500,83718300,67714000,71540300,81363800,90171500,72825400,63418300,93061100
78751,21783800,19875300,16955800,15599500,17036000,18680900,17309700,15071200,20147100
78752,18065175,16203900,14075200,11968300,13937200,14149400,11859700,10915300,15077900
78753,56792800,57786400,48642100,47668600,53767500,50967400,45367000,44032000,54452100
78754,30141000,29654900,25281100,25423700,30156400,30353300,28116500,27323800,37204000
78756,19102900,16471800,13310800,9963900,14577600,15308500,13058700,10956800,16815500
78757,60182300,48470700,40206100,33765400,41863300,45893100,40153000,33904600,50770600
78758,59550200,52839300,46513000,45401200,49373800,46672100,44588300,40765000,49168800
78759,119340500,104077100,83688300,81267600,98119300,94777800,91342700,73720100,102720400
